time,actual_roll,actual_pitch,actual_yaw,estimated_roll,estimated_pitch,estimated_yaw,reference_roll,reference_pitch,reference_yawrate,m1,m2,m3,m4,l1,l2,l3,l4
2.700000,7.283341,-0.920841,-0.000279,6.579776,0.224270,0.000000,8.000000,0.000000,0.000000,45.951019,45.967803,45.604639,45.581750,6.579776,0.224270,0.002209,0.000000
2.750000,8.408568,-1.243317,-0.000056,7.542911,0.198421,0.000000,8.000000,0.000000,0.000000,45.477989,46.895552,46.082246,44.649424,7.542911,0.198421,0.005352,0.000000
2.800000,8.835384,-0.883360,-0.000120,7.664838,-0.384436,0.000000,9.000000,0.000000,0.000000,46.022736,45.079728,45.525292,46.475929,7.664838,-0.384436,-0.002456,0.000000
2.850000,9.548258,-0.401762,-0.000323,8.617970,-0.482527,0.000000,9.000000,0.000000,0.000000,46.431678,45.618372,45.114824,45.940337,8.617970,-0.482527,-0.004939,0.000000
2.900000,9.666583,-0.076046,-0.000374,9.035035,-0.341560,0.000000,10.000000,0.000000,0.000000,45.133135,45.505455,46.419471,46.045624,9.035035,-0.341560,0.000143,0.000000
2.950000,10.200221,-0.033661,-0.000419,9.578978,0.319456,0.000000,10.000000,0.000000,0.000000,46.009003,44.518196,45.545129,47.034409,9.578978,0.319456,0.000237,0.000000
3.000000,10.562215,-0.433845,-0.000311,10.112505,0.299371,0.000000,9.000000,0.000000,0.000000,46.242466,46.449989,45.313191,45.098039,10.112505,0.299371,0.002467,0.000000
3.050000,9.826866,-0.749386,-0.000463,9.068832,0.392494,0.000000,9.000000,0.000000,0.000000,45.520714,44.829480,46.030365,46.724651,9.068832,0.392494,-0.000936,0.000000
3.100000,9.934466,-0.822173,-0.000464,9.091716,-0.202534,0.000000,8.000000,0.000000,0.000000,44.304570,47.237354,47.248035,44.315251,9.091716,-0.202534,-0.000309,0.000000
3.150000,9.450648,-0.830414,-0.000421,7.969526,0.128728,0.000000,8.000000,0.000000,0.000000,45.329976,45.809110,46.222629,45.743496,7.969526,0.128728,0.000031,0.000000
3.200000,9.367066,-1.035763,-0.000423,8.038605,-0.138029,0.000000,7.000000,0.000000,0.000000,43.923095,47.168688,47.627985,44.383917,8.038605,-0.138029,-0.000822,0.000000
3.250000,8.628862,-0.775725,-0.000316,7.576933,-0.439752,0.000000,7.000000,0.000000,0.000000,44.850843,45.807584,46.704814,45.741970,7.576933,-0.439752,0.002079,0.000000
3.300000,8.119972,-0.480756,-0.000185,7.592733,-0.308514,0.000000,6.000000,0.000000,0.000000,45.160601,47.632563,46.393530,43.920043,7.592733,-0.308514,0.000962,0.000000
3.350000,7.041711,-0.130886,0.000025,6.415444,-0.295497,0.000000,6.000000,0.000000,0.000000,45.636683,45.012589,45.925078,46.532387,6.415444,-0.295497,0.006225,0.000000
3.400000,6.943247,-0.022756,0.000035,6.131834,0.339330,0.000000,5.000000,0.000000,0.000000,46.846723,44.806592,44.705882,46.746014,6.131834,0.339330,-0.000184,0.000000
3.450000,6.115859,-0.108965,-0.000022,5.383796,0.052436,0.000000,5.000000,0.000000,0.000000,45.554284,46.352331,45.999847,45.198749,5.383796,0.052436,0.000569,0.000000
3.500000,6.112744,-0.145107,-0.000032,5.058938,-0.177623,0.000000,4.000000,0.000000,0.000000,45.049210,47.469291,46.503395,44.083314,5.058938,-0.177623,-0.000157,0.000000
3.550000,5.234475,0.121257,0.000162,4.713816,0.097282,0.000000,4.000000,0.000000,0.000000,46.872663,45.813687,44.681468,45.737392,4.713816,0.097282,0.001436,0.000000
3.600000,4.903249,0.008967,0.000132,4.017784,0.115920,0.000000,3.000000,0.000000,0.000000,44.911879,45.708400,46.640726,45.844205,4.017784,0.115920,-0.000472,0.000000
3.650000,4.256849,0.004203,0.000148,3.399985,-0.027821,0.000000,3.000000,0.000000,0.000000,46.018158,47.034409,45.534447,44.518196,3.399985,-0.027821,0.000031,0.000000
3.700000,3.949387,-0.339202,0.000087,3.163654,0.150999,0.000000,2.000000,0.000000,0.000000,44.988174,47.702754,46.562905,43.851377,3.163654,0.150999,-0.001235,0.000000
3.750000,3.058975,-0.444612,0.000027,2.561230,0.317224,0.000000,2.000000,0.000000,0.000000,46.303502,44.718090,45.250629,46.832990,2.561230,0.317224,0.000604,0.000000
3.800000,2.470675,-0.481553,-0.000018,2.420179,0.091762,0.000000,1.000000,0.000000,0.000000,47.638666,45.508507,43.912413,46.045624,2.420179,0.091762,-0.000980,0.000000
3.850000,1.399039,-0.516099,-0.000087,1.703306,-0.179711,0.000000,1.000000,0.000000,0.000000,45.873198,45.293355,45.682460,46.254673,1.703306,-0.179711,0.002402,0.000000
3.900000,0.892523,-0.353645,-0.000054,1.112890,-0.383957,0.000000,0.000000,0.000000,0.000000,45.429160,46.535439,46.126497,45.015640,1.112890,-0.383957,0.001563,0.000000
3.950000,0.289883,-0.313479,-0.000039,0.355229,0.040468,0.000000,0.000000,0.000000,0.000000,46.883345,45.909819,44.669261,45.642786,0.355229,0.040468,-0.000192,0.000000
4.000000,0.367937,-0.649307,-0.000015,-0.090144,0.375266,0.000000,0.000000,1.000000,0.000000,45.496300,45.903716,46.057832,45.647364,-0.090144,0.375266,0.000645,0.000000
4.050000,0.291796,-0.159863,0.000002,0.191133,0.462558,0.000000,0.000000,1.000000,0.000000,45.275044,47.248035,46.277562,44.304570,0.191133,0.462558,-0.000522,0.000000
4.100000,0.297066,0.442604,0.000015,-0.088547,0.786576,0.000000,0.000000,2.000000,0.000000,46.913863,45.629053,44.638743,45.923552,-0.088547,0.786576,-0.000835,0.000000
4.150000,0.325504,1.141675,-0.000047,0.137166,1.699735,0.000000,0.000000,2.000000,0.000000,45.288777,46.019684,46.263828,45.532921,0.137166,1.699735,-0.000106,0.000000
4.200000,-0.020640,1.157176,-0.000039,0.170469,2.089190,0.000000,0.000000,3.000000,0.000000,46.439307,44.864576,45.113298,46.688029,0.170469,2.089190,0.000267,0.000000
4.250000,-0.088567,2.118754,-0.000002,0.129313,2.304887,0.000000,0.000000,3.000000,0.000000,45.688563,47.173266,45.864042,44.377813,0.129313,2.304887,0.000512,0.000000
4.300000,-0.346670,2.913965,0.000115,0.321370,2.450583,0.000000,0.000000,4.000000,0.000000,45.821317,46.010529,45.734340,45.539025,0.321370,2.450583,0.002285,0.000000
4.350000,-0.502229,3.828902,0.000311,-0.220462,3.741486,0.000000,0.000000,4.000000,0.000000,45.662623,45.632105,45.891508,45.920500,-0.220462,3.741486,0.000784,0.000000
4.400000,-0.390531,4.050015,0.000278,-0.044944,3.791423,0.000000,0.000000,5.000000,0.000000,45.195697,46.251621,46.356909,45.299458,-0.044944,3.791423,0.000158,0.000000
4.450000,-0.412806,4.742499,0.000275,0.058855,4.695256,0.000000,0.000000,5.000000,0.000000,46.935225,44.065003,44.617380,47.487602,0.058855,4.695256,-0.000196,0.000000
4.500000,-0.311089,5.009390,0.000265,-0.080964,4.649623,0.000000,0.000000,6.000000,0.000000,45.923552,46.298924,45.627527,45.255207,-0.080964,4.649623,-0.000818,0.000000
4.550000,-0.410724,6.212625,0.000328,0.085977,5.108948,0.000000,0.000000,6.000000,0.000000,45.659571,45.963226,45.893034,45.589380,0.085977,5.108948,-0.000001,0.000000
4.600000,-0.295181,6.566757,0.000361,-0.452250,5.848543,0.000000,0.000000,7.000000,0.000000,44.315251,45.883879,47.237354,45.668727,-0.452250,5.848543,-0.000319,0.000000
4.650000,0.060184,7.157760,0.000215,-0.182330,7.023974,0.000000,0.000000,7.000000,0.000000,46.791791,44.928664,44.759289,46.626993,-0.182330,7.023974,-0.001678,0.000000
4.700000,0.063842,7.375996,0.000223,0.266678,6.891718,0.000000,0.000000,8.000000,0.000000,46.749065,46.231785,44.805066,45.319295,0.266678,6.891718,0.000761,0.000000
4.750000,-0.057185,7.972637,0.000310,-0.315773,7.733836,0.000000,0.000000,8.000000,0.000000,45.215534,45.841154,46.335546,45.712978,-0.315773,7.733836,-0.001514,0.000000
4.800000,0.455017,8.083905,0.000248,-0.276003,7.917099,0.000000,0.000000,9.000000,0.000000,44.689097,46.718547,46.863508,44.835584,-0.276003,7.917099,-0.000122,0.000000
4.850000,0.402765,8.888489,0.000196,0.446187,8.529776,0.000000,0.000000,9.000000,0.000000,45.122454,47.394522,46.431678,44.156558,0.446187,8.529776,0.001297,0.000000
4.900000,0.272327,9.081137,0.000258,-0.122685,9.052003,0.000000,0.000000,10.000000,0.000000,45.813687,44.345769,45.738918,47.205310,-0.122685,9.052003,0.000319,0.000000
4.950000,0.342928,10.003787,0.000225,-0.040215,9.452934,0.000000,0.000000,10.000000,0.000000,46.662089,44.721141,44.887465,46.834516,-0.040215,9.452934,-0.001782,0.000000
5.000000,-0.115788,10.344992,0.000310,0.304133,9.606417,0.000000,0.000000,9.000000,0.000000,45.073625,45.113298,46.482033,46.436255,0.304133,9.606417,0.002622,0.000000
5.050000,-0.322937,9.599107,0.000228,0.116724,9.361960,0.000000,0.000000,9.000000,0.000000,45.996796,46.274510,45.552758,45.281147,0.116724,9.361960,-0.002166,0.000000
5.100000,-0.195384,9.371371,0.000243,-0.103842,9.275109,0.000000,0.000000,8.000000,0.000000,46.623941,45.099565,44.928664,46.453040,-0.103842,9.275109,-0.000032,0.000000
5.150000,-0.178848,8.694141,0.000257,0.088344,8.575033,0.000000,0.000000,8.000000,0.000000,47.771420,45.401694,43.781186,46.150912,0.088344,8.575033,0.000432,0.000000
5.200000,-0.157268,8.292184,0.000235,-0.009585,8.368136,0.000000,0.000000,7.000000,0.000000,47.655451,45.873198,43.898680,45.677882,-0.009585,8.368136,0.001082,0.000000
5.250000,0.010331,7.216340,0.000317,-0.298518,7.651843,0.000000,0.000000,7.000000,0.000000,45.711452,46.050202,45.847257,45.497826,-0.298518,7.651843,0.004313,0.000000
5.300000,0.482650,6.873578,0.000450,-0.420996,6.963793,0.000000,0.000000,6.000000,0.000000,45.528344,45.302510,46.025788,46.248569,-0.420996,6.963793,0.001037,0.000000
5.350000,0.541972,6.296554,0.000493,-0.078682,6.021600,0.000000,0.000000,6.000000,0.000000,45.177386,46.112764,46.373693,45.439841,-0.078682,6.021600,-0.000543,0.000000
5.400000,0.564323,5.977727,0.000489,-0.014467,6.558478,0.000000,0.000000,5.000000,0.000000,45.787747,44.950027,45.763333,46.602579,-0.014467,6.558478,-0.000167,0.000000
5.450000,0.445181,5.157389,0.000435,0.061713,5.611361,0.000000,0.000000,5.000000,0.000000,45.049210,44.715038,46.500343,46.839094,0.061713,5.611361,-0.001519,0.000000
5.500000,0.455302,4.845404,0.000409,-0.265843,5.055276,0.000000,0.000000,4.000000,0.000000,45.104143,45.230793,46.445411,46.323339,-0.265843,5.055276,-0.001316,0.000000
5.550000,0.475652,4.119704,0.000454,0.269892,4.257526,0.000000,0.000000,4.000000,0.000000,46.742962,46.289769,44.808118,45.264363,0.269892,4.257526,-0.001166,0.000000
5.600000,0.032210,3.891366,0.000356,0.041196,3.969082,0.000000,0.000000,3.000000,0.000000,45.844205,44.365606,45.708400,47.186999,0.041196,3.969082,0.000214,0.000000
5.650000,-0.399149,3.054688,0.000158,0.466258,3.465223,0.000000,0.000000,3.000000,0.000000,44.898146,46.686503,46.646830,44.873732,0.466258,3.465223,-0.005380,0.000000
5.700000,-0.280686,2.649211,0.000156,-0.315453,3.032592,0.000000,0.000000,2.000000,0.000000,44.463264,45.845731,47.090867,45.705348,-0.315453,3.032592,0.001253,0.000000
5.750000,-0.336028,1.736380,0.000188,0.276756,2.467708,0.000000,0.000000,2.000000,0.000000,46.324865,45.172808,45.224689,46.382849,0.276756,2.467708,-0.002415,0.000000
5.800000,-0.797300,1.421957,0.000072,0.281772,1.964693,0.000000,0.000000,1.000000,0.000000,45.009537,45.304036,46.541543,46.250095,0.281772,1.964693,-0.001623,0.000000
5.850000,-0.975117,0.609248,-0.000065,-0.190112,1.189817,0.000000,0.000000,1.000000,0.000000,44.884413,46.051728,46.665141,45.503929,-0.190112,1.189817,-0.001471,0.000000
5.900000,-0.636007,0.331537,-0.000003,-0.430740,1.190057,0.000000,0.000000,0.000000,0.000000,45.873198,45.558862,45.682460,45.990692,-0.430740,1.190057,0.002263,0.000000
5.950000,-0.225755,-0.494630,0.000233,-0.427712,0.413426,0.000000,0.000000,0.000000,0.000000,45.670253,44.576181,45.885405,46.973373,-0.427712,0.413426,0.002191,0.000000
6.000000,-0.103492,-0.825755,0.000278,-0.011273,0.385446,0.000000,0.000000,1.000000,0.000000,46.750591,45.264363,44.802014,46.288243,-0.011273,0.385446,-0.000125,0.000000
6.050000,-0.387117,-0.109088,0.000416,0.148885,0.315557,0.000000,0.000000,1.000000,0.000000,44.667735,45.290303,46.892500,46.256199,0.148885,0.315557,0.004988,0.000000
6.100000,-0.579775,0.388663,0.000459,0.321484,0.691506,0.000000,0.000000,2.000000,0.000000,45.380331,45.777066,46.175326,45.774014,0.321484,0.691506,0.001421,0.000000
6.150000,-0.436868,1.623212,0.000381,-0.191166,1.213091,0.000000,0.000000,2.000000,0.000000,45.374228,45.473411,46.172274,46.085298,-0.191166,1.213091,-0.004759,0.000000
6.200000,-0.454018,2.050923,0.000391,0.057445,1.933789,0.000000,0.000000,3.000000,0.000000,46.388952,46.245518,45.162127,45.308614,0.057445,1.933789,-0.000170,0.000000
6.250000,-0.249818,2.906084,0.000293,-0.052558,2.718328,0.000000,0.000000,3.000000,0.000000,46.843671,46.691081,44.705882,44.864576,-0.052558,2.718328,-0.002159,0.000000
6.300000,-0.077828,3.070938,0.000271,-0.077143,2.721088,0.000000,0.000000,4.000000,0.000000,46.575113,46.733806,44.975967,44.820325,-0.077143,2.721088,-0.000808,0.000000
6.350000,0.193223,3.950073,0.000114,-0.344699,3.835304,0.000000,0.000000,4.000000,0.000000,46.742962,44.261845,44.805066,47.293812,-0.344699,3.835304,-0.002470,0.000000
6.400000,0.388593,4.370986,0.000057,-0.213289,3.585311,0.000000,0.000000,5.000000,0.000000,45.777066,46.063935,45.772488,45.491722,-0.213289,3.585311,-0.001728,0.000000
